연도,장르,개봉편수,관객수_명,관객_점유율,매출액_원,매출_점유율
2019,액션,132,"53,875,393",23.8,"468,854,864,301",24.5
2019,드라마,345,"32,385,926",14.3,"268,830,941,208",14
2019,코미디,55,"31,376,884",13.8,"265,901,680,924",13.9
2019,애니메이션,93,"30,172,518",13.3,"245,130,832,345",12.8
2019,어드벤처,10,"25,112,606",11.1,"214,033,809,809",11.2
2019,범죄,31,"21,339,793",9.4,"182,592,206,710",9.5
2019,사극,4,"7,363,442",3.2,"61,535,266,599",3.2
2019,공포_호러,82,"5,791,607",2.6,"48,311,580,592",2.5
2019,멜로_로맨스,646,"5,364,182",2.4,"44,352,484,238",2.3
2019,미스터리,22,"4,933,614",2.2,"40,637,256,402",2.1
2019,판타지,13,"2,234,840",1,"18,875,685,405",1
2019,스릴러,29,"2,010,782",0.9,"16,391,568,035",0.9
2019,전쟁,22,"1,169,021",0.5,"9,094,259,400",0.5
2019,다큐멘터리,68,"880,555",0.4,"6,802,172,898",0.4
2019,뮤지컬,2,"736,675",0.3,"6,149,493,690",0.3
2019,SF,25,"581,115",0.3,"5,031,422,670",0.3
2019,가족,9,"457,051",0.2,"3,633,452,282",0.2
2019,공연,17,"418,647",0.2,"4,202,111,100",0.2
2019,기타,340,"474,922",0.2,"3,635,262,560",0.2
2020,액션,103,"9,970,228",16.7,"87,512,999,640",17.1
2020,드라마,310,"19,072,319",32,"161,092,992,261",31.6
2020,코미디,53,"8,569,545",14.4,"72,730,266,650",14.3
2020,애니메이션,23,"3,209,883",5.4,"25,911,689,630",5.1
2020,어드벤처,7,"2,659,087",4.5,"22,556,610,100",4.4
2020,범죄,23,"6,573,127",11,"58,148,426,050",11.4
2020,사극,3,"1,120,634",1.9,"9,373,998,250",1.8
2020,공포_호러,65,"1,001,992",1.7,"8,349,163,060",1.6
2020,멜로_로맨스,552,"725,366",1.2,"5,809,495,738",1.1
2020,미스터리,15,"2,532,490",4.3,"22,123,372,130",4.3
